NPS Score,Reason Desc
8,Proses laporan gangguan mudah
8,agent / sales ramah
9,agent / sales ramah
8,penawaran / promo menarik
8,Proses pemesanan mudah
7,Konfirmasi pasang baru tidak jelas
8,Proses pemesanan mudah
9,Proses pemesanan mudah
10,Teknisi ramah dan rapih
8,Instalasi selesai pada kunjungan pertama
8,Sudah merasa cukup puas
9,Instalasi rapih
9,Instalasi selesai pada kunjungan pertama
10,Instalasi selesai pada kunjungan pertama
7,Teknisi menjelaskan cara menggunakan produk dengan cukup baik
9,Instalasi selesai pada kunjungan pertama
9,Instalasi rapih
7,Teknisi menjelaskan cara menggunakan produk dengan cukup baik
8,Teknisi menjelaskan cara menggunakan produk dengan cukup baik
5,Instalasi tidak rapih
8,Sudah merasa cukup puas
10,Waktu Instalasi dilakukan sesuai kesepakatan
10,Teknisi ramah dan rapih
8,Instalasi selesai pada kunjungan pertama
7,Kesepakatan waktu Instalasi cukup sesuai
10,Metode pembayaran tersedia
7,Sudah merasa cukup puas
10,Informasi yang diberikan jelas dan lengkap
8,Sudah merasa cukup puas
8,Sudah merasa cukup puas
8,Informasi yang diberikan cukup jelas
10,Informasi yang diberikan jelas dan lengkap
7,Penawaran/promo cukup menarik
10,Informasi yang diberikan jelas dan lengkap
2,Informasi yang diberikan tidak jelas dan lengkap
10,Informasi yang diberikan jelas dan lengkap
10,Penawaran/ promo menarik
10,Agent/ Sales ramah
0,Informasi yang diberikan tidak jelas dan lengkap
1,Tampilan tidak menarik
8,Pencarian informasi cukup mudah
7,Sudah merasa cukup puas
10,Proses berlangganan mudah
6,Proses berlangganan rumit
1,Proses berlangganan rumit
10,"Kontrak, syarat dan ketentuan jelas"
10,Proses berlangganan mudah
10,Konfirmasi pasang baru jelas
9,Konfirmasi pasang baru jelas
0,Proses berlangganan rumit
10,Informasi yang diberikan jelas dan lengkap
8,Penawaran/promo cukup menarik
7,Informasi yang diberikan cukup jelas
10,Gangguan terselesaikan pada laporan pertama
10,Gangguan terselesaikan pada laporan pertama
10,Kualitas pekerjaan teknisi baik
8,Proses laporan gangguan cukup mudah
1,Gangguan tidak terselesaikan pada laporan pertama
10,Kualitas pekerjaan teknisi baik
8,Proses laporan gangguan cukup mudah
3,Proses lapor gangguan rumit
10,Proses laporan gangguan mudah
8,Sudah merasa cukup puas
7,Kualitas pekerjaan teknisi cukup baik
10,Proses laporan gangguan mudah
8,Sudah merasa cukup puas
6,Gangguan tidak terselesaikan pada laporan pertama
8,Proses laporan gangguan cukup mudah
9,Kualitas pekerjaan teknisi baik
5,Proses lapor gangguan rumit
10,Jadwal perbaikan dilakukan sesuai dengan kesepakatan
8,Gangguan terselesaikan pada laporan pertama
5,Proses lapor gangguan rumit
9,Pengiriman informasi tagihan rutin dan tepat waktu
9,Metode pembayaran sudah tersedia
6,Metode pembayaran belum tersedia
9,Metode pembayaran sudah tersedia
5,Paket penawaran tidak menarik
8,Customer Service cukup ramah
10,Customer Service ramah
10,Paket penawaran menarik
10,Customer Service ramah
8,Layanan berfungsi cukup normal dan stabil
10,Internet stabil
3,Layanan tidak berfungsi dengan normal dan stabil
7,Layanan berfungsi cukup normal dan stabil
4,Tidak mendapatkan info terkait layanan dan edukasi dengan jelas
8,Jarang terjadi gangguan
8,Mendapatkan info terkait layanan dan edukasi dengan cukup jelas
10,Mendapatkan info terkait layanan dan edukasi dengan jelas
5,Internet tidak stabil
8,Kecepatan tidak sesuai paket
10,Internet stabil
8,Kecepatan tidak sesuai paket
8,Internet tidak stabil
8,Kecepatan tidak sesuai paket
7,Sulit melakukan upgrade speed
10,Lainnya service
10,Teknisi ramah dan rapih
10,Instalasi selesai pada kunjungan pertama
9,Instalasi selesai pada kunjungan pertama
10,Teknisi ramah dan rapih
7,Instalasi selesai pada kunjungan pertama
10,Instalasi rapih
10,Teknisi menjelaskan cara menggunakan produk dengan baik
10,Waktu Instalasi dilakukan sesuai kesepakatan
6,Instalasi tidak selesai pada kunjungan pertama
9,Teknisi ramah dan rapih
10,Instalasi selesai pada kunjungan pertama
10,Teknisi menjelaskan cara menggunakan produk dengan baik
10,Waktu Instalasi dilakukan sesuai kesepakatan
8,Sudah merasa cukup puas
7,Sudah merasa cukup puas
10,Teknisi menjelaskan cara menggunakan produk dengan baik
8,Teknisi menjelaskan cara menggunakan produk dengan cukup baik
10,Teknisi ramah dan rapih
9,Teknisi ramah dan rapih
10,Teknisi menjelaskan cara menggunakan produk dengan baik
9,Teknisi menjelaskan cara menggunakan produk dengan baik
7,Sudah merasa cukup puas
10,Teknisi ramah dan rapih
9,Teknisi ramah dan rapih
5,Instalasi tidak selesai pada kunjungan pertama
10,Siaran TV jernih dan beresolusi tinggi
10,"Kontrak, syarat dan ketentuan jelas"
10,Proses berlangganan mudah
7,Proses berlangganan cukup mudah
10,Proses berlangganan mudah
10,Proses berlangganan mudah
0,Proses berlangganan rumit
9,Proses pembayaran uang jaminan mudah
1,Proses berlangganan rumit
2,Konfirmasi pasang baru tidak jelas
