created_at,text
11/29/2021 4:22,"RT @_HEALTHLEAGUE: Good day, co-Leagues! Let's spread positivity, and deliver our messages to our Modern Heroes! Here's a daily reminder to…"
11/29/2021 4:21,"RT @htlifeandstyle: Dubbed #Omicron, the strain, first discovered in southern Africa, represents a fresh challenge to global efforts to bat…"
11/29/2021 4:20,"RT @IndianExpress: A global agreement to strengthen #pandemic prevention and responses, expected to be ready in May 2024, would cover issue…"
11/29/2021 4:19,"RT @htlifeandstyle: Dubbed #Omicron, the strain, first discovered in southern Africa, represents a fresh challenge to global efforts to bat…"
11/29/2021 4:19,RT @KatharineSmart: En route back to #Yukon feeling grateful that legislation is coming to the House to protect #HCW. This #pandemic is not…
11/29/2021 4:18,"A global agreement to strengthen #pandemic prevention and responses, expected to be ready in May 2024, would cover… https://t.co/AjL5Ms4LQL"
11/29/2021 4:17,"RT @htlifeandstyle: Dubbed #Omicron, the strain, first discovered in southern Africa, represents a fresh challenge to global efforts to bat…"
11/29/2021 4:17,"Dubbed #Omicron, the strain, first discovered in southern Africa, represents a fresh challenge to global efforts to… https://t.co/YnyCAweNSn"
11/29/2021 4:17,"RT @PrincipalTam: “Right now, I think #teachers need more TLC than they do PD.”
@DrBradJohnson 
IMHO, Dr. Johnson, this is SO DAMNED TRUE!!…"
11/29/2021 4:17,Omicron? How do they come up with these names. 🤷‍♂️ #pandemic https://t.co/eJS64jdFV5
11/29/2021 4:16,"RT @PrincipalTam: “Right now, I think #teachers need more TLC than they do PD.”
@DrBradJohnson 
IMHO, Dr. Johnson, this is SO DAMNED TRUE!!…"
11/29/2021 4:16,"RT @IndiaToday: Delhi schools reopen
#ITVideo #Delhi #Schools #education #Covid19 #pandemic https://t.co/cWo7VktVZC"
11/29/2021 4:15,"Delhi schools reopen
#ITVideo #Delhi #Schools #education #Covid19 #pandemic https://t.co/cWo7VktVZC"
11/29/2021 4:15,"RT @sonu_monika: Fauci says #OmicronVariant might 'evade immune protection': COVID-19 updates 
https://t.co/H4YHQOClZf 
#COVID19 #covidvari…"
11/29/2021 4:14,"RT @AiaKaz: 1. #CORRUPTION is a huge threat to democracy. We hope that free media, journalists will expose officials and society will bring…"
11/29/2021 4:14,That’s my #Sydney trip cancelled 😔 #Omicron #coronavirus #pandemic https://t.co/8nbYym3DBR
11/29/2021 4:11,"RT @CATHERINENEVER2: “This #Pandemic 
will not end until we have 
GL🅾️🅱️🅰️L
V🅰️CCℹ️N🅰️Tℹ️🅾️N”
@POTUS https://t.co/XxZKnwgS2j"
11/29/2021 4:11,Join us for a regional learning exchange to explore how the lessons from the #pandemic and agroecological innovatio… https://t.co/6haNscKQgJ
11/29/2021 4:10,"Written just as the Omicron variant became a concern, this short read is an excellent reminder of the procedures ac… https://t.co/VI2BufG05Y"
11/29/2021 4:09,"RT @Laurie_Garrett: An emergency session of the World Health Assembly @WHO just voted to establish, ""an
intergovernmental negotiating body…"
11/29/2021 4:08,"""We are raising a red flag."" #Omicron #COVID19 #Pandemic #Borders #Global https://t.co/gqT6MtzBff"
11/29/2021 4:08,RT @KatharineSmart: En route back to #Yukon feeling grateful that legislation is coming to the House to protect #HCW. This #pandemic is not…
11/29/2021 4:08,"RT @PrincipalTam: “Right now, I think #teachers need more TLC than they do PD.”
@DrBradJohnson 
IMHO, Dr. Johnson, this is SO DAMNED TRUE!!…"
